0,1,2
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.9164607557040654e-08}","{'label': 'Negative', 'score': 8.804522444449958e-09}"
"{'label': 'Positive', 'score': 0.9999995231628418}","{'label': 'Neutral', 'score': 3.191319706274953e-07}","{'label': 'Negative', 'score': 6.536928509603968e-08}"
"{'label': 'Neutral', 'score': 0.9999958276748657}","{'label': 'Positive', 'score': 2.4391965780523606e-06}","{'label': 'Negative', 'score': 1.8287704506292357e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 9.681225598967558e-09}","{'label': 'Neutral', 'score': 4.6155321231644564e-10}"
"{'label': 'Positive', 'score': 0.9999995231628418}","{'label': 'Neutral', 'score': 3.191319706274953e-07}","{'label': 'Negative', 'score': 6.536928509603968e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 6.04956884586727e-09}","{'label': 'Neutral', 'score': 2.655974329357491e-09}"
"{'label': 'Negative', 'score': 0.9999743700027466}","{'label': 'Neutral', 'score': 2.203281837864779e-05}","{'label': 'Positive', 'score': 3.578181122065871e-06}"
"{'label': 'Negative', 'score': 0.9999315738677979}","{'label': 'Positive', 'score': 6.511333776870742e-05}","{'label': 'Neutral', 'score': 3.276188863310381e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.0709988451651498e-08}","{'label': 'Negative', 'score': 2.5584725449334655e-09}"
"{'label': 'Neutral', 'score': 0.999975323677063}","{'label': 'Negative', 'score': 2.2268202883424237e-05}","{'label': 'Positive', 'score': 2.403152620900073e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 6.383211292870783e-09}","{'label': 'Neutral', 'score': 1.97355687348022e-09}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.1080558692810882e-09}","{'label': 'Neutral', 'score': 7.904461529761875e-10}"
"{'label': 'Positive', 'score': 0.999990701675415}","{'label': 'Negative', 'score': 6.789010058128042e-06}","{'label': 'Neutral', 'score': 2.4851563011907274e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 3.155108174723864e-08}","{'label': 'Negative', 'score': 6.542765440542553e-09}"
"{'label': 'Positive', 'score': 0.7291589379310608}","{'label': 'Neutral', 'score': 0.270415335893631}","{'label': 'Negative', 'score': 0.00042573362588882446}"
"{'label': 'Neutral', 'score': 0.9999946355819702}","{'label': 'Negative', 'score': 4.435627033672063e-06}","{'label': 'Positive', 'score': 9.521968991066387e-07}"
"{'label': 'Neutral', 'score': 0.9999101161956787}","{'label': 'Positive', 'score': 8.716089359950274e-05}","{'label': 'Negative', 'score': 2.775636858132202e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 9.448882565266103e-09}","{'label': 'Negative', 'score': 4.451145230177644e-09}"
"{'label': 'Neutral', 'score': 0.9999980926513672}","{'label': 'Negative', 'score': 1.7863735592982266e-06}","{'label': 'Positive', 'score': 1.5100201267159719e-07}"
"{'label': 'Positive', 'score': 0.9998883008956909}","{'label': 'Neutral', 'score': 0.00011100214760517702}","{'label': 'Negative', 'score': 6.618311090278439e-07}"
"{'label': 'Neutral', 'score': 0.9999974966049194}","{'label': 'Negative', 'score': 2.1325670331862057e-06}","{'label': 'Positive', 'score': 3.3953469369407685e-07}"
"{'label': 'Positive', 'score': 0.9999996423721313}","{'label': 'Negative', 'score': 2.3792081549345312e-07}","{'label': 'Neutral', 'score': 1.035903949286876e-07}"
"{'label': 'Neutral', 'score': 0.9999979734420776}","{'label': 'Negative', 'score': 2.0850291093665874e-06}","{'label': 'Positive', 'score': 3.927823755134341e-08}"
"{'label': 'Positive', 'score': 0.9078049659729004}","{'label': 'Neutral', 'score': 0.09216814488172531}","{'label': 'Negative', 'score': 2.6945703211822547e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 1.4587973051760628e-09}","{'label': 'Neutral', 'score': 2.280556854472593e-10}"
"{'label': 'Neutral', 'score': 0.9999986886978149}","{'label': 'Negative', 'score': 1.0212544339083252e-06}","{'label': 'Positive', 'score': 1.896680288382413e-07}"
"{'label': 'Neutral', 'score': 0.999996542930603}","{'label': 'Negative', 'score': 3.4809727367246523e-06}","{'label': 'Positive', 'score': 1.9830634911954803e-08}"
"{'label': 'Positive', 'score': 0.9999996423721313}","{'label': 'Negative', 'score': 2.3792081549345312e-07}","{'label': 'Neutral', 'score': 1.035903949286876e-07}"
"{'label': 'Neutral', 'score': 0.9997715353965759}","{'label': 'Negative', 'score': 0.00022656633518636227}","{'label': 'Positive', 'score': 1.960595909622498e-06}"
"{'label': 'Neutral', 'score': 0.9999995231628418}","{'label': 'Negative', 'score': 2.2309022540412116e-07}","{'label': 'Positive', 'score': 2.2201204785687878e-07}"
"{'label': 'Neutral', 'score': 0.9999971389770508}","{'label': 'Negative', 'score': 2.768021886367933e-06}","{'label': 'Positive', 'score': 6.650221706649972e-08}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 2.4455850677895796e-09}","{'label': 'Neutral', 'score': 1.11059061946861e-09}"
"{'label': 'Positive', 'score': 0.9978277087211609}","{'label': 'Negative', 'score': 0.002085113665089011}","{'label': 'Neutral', 'score': 8.721202902961522e-05}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Neutral', 'score': 1.4940848558353537e-08}","{'label': 'Negative', 'score': 3.215887556251573e-09}"
"{'label': 'Neutral', 'score': 0.99998939037323}","{'label': 'Negative', 'score': 9.06722925719805e-06}","{'label': 'Positive', 'score': 1.5710553498138324e-06}"
"{'label': 'Positive', 'score': 0.9999382495880127}","{'label': 'Negative', 'score': 5.034361674915999e-05}","{'label': 'Neutral', 'score': 1.1491564691823442e-05}"
"{'label': 'Neutral', 'score': 0.9951773881912231}","{'label': 'Positive', 'score': 0.004059744533151388}","{'label': 'Negative', 'score': 0.0007627739105373621}"
"{'label': 'Neutral', 'score': 0.9999943971633911}","{'label': 'Negative', 'score': 5.114350642543286e-06}","{'label': 'Positive', 'score': 4.947078764416801e-07}"
"{'label': 'Positive', 'score': 0.9999651908874512}","{'label': 'Neutral', 'score': 3.19170649163425e-05}","{'label': 'Negative', 'score': 2.8551980904012453e-06}"
"{'label': 'Positive', 'score': 1.0}","{'label': 'Negative', 'score': 6.0874532081811594e-09}","{'label': 'Neutral', 'score': 5.416854520490233e-09}"
"{'label': 'Positive', 'score': 0.9138610363006592}","{'label': 'Neutral', 'score': 0.07679696381092072}","{'label': 'Negative', 'score': 0.009342013858258724}"
