0,1,2
"{'label': 'positive', 'score': 0.8616760969161987}","{'label': 'negative', 'score': 0.11853856593370438}","{'label': 'neutral', 'score': 0.019785352051258087}"
"{'label': 'positive', 'score': 0.5100283026695251}","{'label': 'negative', 'score': 0.46810296177864075}","{'label': 'neutral', 'score': 0.021868690848350525}"
"{'label': 'neutral', 'score': 0.8420678973197937}","{'label': 'positive', 'score': 0.14925342798233032}","{'label': 'negative', 'score': 0.008678638376295567}"
"{'label': 'neutral', 'score': 0.9494416117668152}","{'label': 'positive', 'score': 0.036257531493902206}","{'label': 'negative', 'score': 0.014300867915153503}"
"{'label': 'positive', 'score': 0.9065014123916626}","{'label': 'negative', 'score': 0.07315584272146225}","{'label': 'neutral', 'score': 0.020342731848359108}"
"{'label': 'positive', 'score': 0.9062237739562988}","{'label': 'negative', 'score': 0.07307128608226776}","{'label': 'neutral', 'score': 0.020705025643110275}"
"{'label': 'negative', 'score': 0.8246517777442932}","{'label': 'positive', 'score': 0.1190170869231224}","{'label': 'neutral', 'score': 0.056331079453229904}"
"{'label': 'neutral', 'score': 0.7047397494316101}","{'label': 'negative', 'score': 0.23836582899093628}","{'label': 'positive', 'score': 0.0568944588303566}"
"{'label': 'negative', 'score': 0.7248415350914001}","{'label': 'neutral', 'score': 0.2446410357952118}","{'label': 'positive', 'score': 0.030517453327775}"
"{'label': 'positive', 'score': 0.8689154386520386}","{'label': 'negative', 'score': 0.11057350784540176}","{'label': 'neutral', 'score': 0.020511023700237274}"
"{'label': 'positive', 'score': 0.9083980321884155}","{'label': 'negative', 'score': 0.07076594978570938}","{'label': 'neutral', 'score': 0.020835956558585167}"
"{'label': 'positive', 'score': 0.7010826468467712}","{'label': 'negative', 'score': 0.2760620713233948}","{'label': 'neutral', 'score': 0.022855257615447044}"
"{'label': 'neutral', 'score': 0.8873238563537598}","{'label': 'positive', 'score': 0.10163508355617523}","{'label': 'negative', 'score': 0.011041074991226196}"
"{'label': 'neutral', 'score': 0.8862839937210083}","{'label': 'positive', 'score': 0.10261481255292892}","{'label': 'negative', 'score': 0.01110118255019188}"
"{'label': 'positive', 'score': 0.8861157298088074}","{'label': 'negative', 'score': 0.09283193945884705}","{'label': 'neutral', 'score': 0.021052241325378418}"
"{'label': 'neutral', 'score': 0.7582767605781555}","{'label': 'positive', 'score': 0.23022429645061493}","{'label': 'negative', 'score': 0.011498901061713696}"
"{'label': 'neutral', 'score': 0.786855936050415}","{'label': 'positive', 'score': 0.1951538324356079}","{'label': 'negative', 'score': 0.0179902296513319}"
"{'label': 'negative', 'score': 0.6098836064338684}","{'label': 'positive', 'score': 0.3073090612888336}","{'label': 'neutral', 'score': 0.08280735462903976}"
"{'label': 'neutral', 'score': 0.9130165576934814}","{'label': 'negative', 'score': 0.04410577192902565}","{'label': 'positive', 'score': 0.0428776815533638}"
"{'label': 'negative', 'score': 0.7135739326477051}","{'label': 'neutral', 'score': 0.26317018270492554}","{'label': 'positive', 'score': 0.023255901411175728}"
"{'label': 'negative', 'score': 0.9756485819816589}","{'label': 'neutral', 'score': 0.017655815929174423}","{'label': 'positive', 'score': 0.006695616524666548}"
"{'label': 'positive', 'score': 0.739615261554718}","{'label': 'neutral', 'score': 0.19933083653450012}","{'label': 'negative', 'score': 0.06105392798781395}"
"{'label': 'neutral', 'score': 0.9124338030815125}","{'label': 'positive', 'score': 0.046227071434259415}","{'label': 'negative', 'score': 0.04133916273713112}"
"{'label': 'neutral', 'score': 0.8914499282836914}","{'label': 'positive', 'score': 0.05505034327507019}","{'label': 'negative', 'score': 0.05349978804588318}"
"{'label': 'positive', 'score': 0.5805588960647583}","{'label': 'neutral', 'score': 0.3288549780845642}","{'label': 'negative', 'score': 0.09058613330125809}"
"{'label': 'negative', 'score': 0.9717393517494202}","{'label': 'neutral', 'score': 0.020827895030379295}","{'label': 'positive', 'score': 0.007432777434587479}"
"{'label': 'neutral', 'score': 0.7987582087516785}","{'label': 'positive', 'score': 0.16664528846740723}","{'label': 'negative', 'score': 0.0345965214073658}"
"{'label': 'neutral', 'score': 0.9535439014434814}","{'label': 'negative', 'score': 0.0280747190117836}","{'label': 'positive', 'score': 0.01838137023150921}"
"{'label': 'neutral', 'score': 0.7716785669326782}","{'label': 'positive', 'score': 0.1831846833229065}","{'label': 'negative', 'score': 0.04513680189847946}"
"{'label': 'negative', 'score': 0.9661223888397217}","{'label': 'neutral', 'score': 0.018312111496925354}","{'label': 'positive', 'score': 0.015565404668450356}"
"{'label': 'neutral', 'score': 0.6998966932296753}","{'label': 'positive', 'score': 0.2833874523639679}","{'label': 'negative', 'score': 0.016715874895453453}"
"{'label': 'neutral', 'score': 0.5175435543060303}","{'label': 'negative', 'score': 0.44315624237060547}","{'label': 'positive', 'score': 0.03930019214749336}"
"{'label': 'neutral', 'score': 0.849624514579773}","{'label': 'negative', 'score': 0.08499007672071457}","{'label': 'positive', 'score': 0.06538544595241547}"
"{'label': 'positive', 'score': 0.8722996115684509}","{'label': 'negative', 'score': 0.10757654160261154}","{'label': 'neutral', 'score': 0.020123787224292755}"
"{'label': 'neutral', 'score': 0.9285606741905212}","{'label': 'positive', 'score': 0.037012938410043716}","{'label': 'negative', 'score': 0.03442634642124176}"
"{'label': 'negative', 'score': 0.5846954584121704}","{'label': 'neutral', 'score': 0.2847832441329956}","{'label': 'positive', 'score': 0.13052137196063995}"
"{'label': 'negative', 'score': 0.9003340601921082}","{'label': 'neutral', 'score': 0.06915079057216644}","{'label': 'positive', 'score': 0.03051515482366085}"
